,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Matt Breida,Rex Burkhead,Marquise Goodwin,Chris Carson,Andrew Luck,Adrian Peterson,Jesse James,Dalvin Cook,Quincy Enunwa,Jordan Reed,Marshawn Lynch,Randall Cobb
BN10,,,,,,,,,,,,
BN2,Ian Thomas,Pierre Garcon,Mike Williams,Mitchell Trubisky,Nyheim Hines,Duke Johnson Jr.,T.J. Yeldon,Hunter Henry,Deshaun Watson,Jimmy Garoppolo,Jack Doyle,Chris Thompson
BN3,Matthew Stafford,Jamison Crowder,Tarik Cohen,Devin Funchess,Christian McCaffrey,Blake Bortles,Alfred Morris,Robert Woods,Jamaal Williams,Amari Cooper,Russell Wilson,Cam Newton
BN4,Austin Ekeler,David Njoku,Case Keenum,Devonta Freeman,Austin Seferian-Jenkins,O.J. Howard,Jordan Wilkins,Dak Prescott,Danny Amendola,Keelan Cole,Peyton Barber,Le'Veon Bell
BN5,Corey Clement,DeVante Parker,Theo Riddick,Dez Bryant,John Ross,Dante Pettis,D.J. Moore,Paul Richardson Jr.,Rishard Matthews,Joe Mixon,Alex Smith,Mohamed Sanu
BN6,Derrick Henry,Marlon Mack,Corey Coleman,Anthony Miller,Jameis Winston,Rashaad Penny,Jerick McKinnon,Kelvin Benjamin,Royce Freeman,Josh Gordon,Aaron Jones,Michael Gallup
BN7,Alshon Jeffery,Geronimo Allison,Ty Montgomery,Mike Gesicki,Mark Ingram,Lamar Jackson,Julian Edelman,Antonio Callaway,Bilal Powell,Evan Engram,Nick Chubb,Spencer Ware
BN8,Derrius Guice,Ronald Jones II,Baker Mayfield,Tre'Quan Smith,Ryan Fitzpatrick,Ryan Grant,Sam Darnold,Laquon Treadwell,Tyler Eifert,Isaiah Crowell,Phillip Dorsett,Benjamin Watson
BN9,Greg Olsen,Marcus Mariota,Houston,John Kelly,Los Angeles,Atlanta,Chris Ivory,New England,Cameron Meredith,Courtland Sutton,Jonnu Smith,Tampa Bay
DEF,Minnesota,Jacksonville,Los Angeles,Pittsburgh,Chicago,New Orleans,Philadelphia,Baltimore,Green Bay,Seattle,Cleveland,Denver
K,,,,,,,,,,,,
QB,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Carson Wentz,Andy Dalton,Ben Roethlisberger,Tom Brady,Philip Rivers,Matt Ryan,Derek Carr,Drew Brees,Jared Goff
RB1,Latavius Murray,Todd Gurley II,Alvin Kamara,Kareem Hunt,Giovani Bernard,Ezekiel Elliott,Alex Collins,Jordan Howard,Melvin Gordon III,Saquon Barkley,James White,Dion Lewis
RB2,Sony Michel,David Johnson,James Conner,Tevin Coleman,Kerryon Johnson,Carlos Hyde,LeSean McCoy,Tavon Austin,Lamar Miller,Kenyan Drake,Phillip Lindsay,Leonard Fournette
TE,Cameron Brate,Rob Gronkowski,Zach Ertz,Eric Ebron,Jared Cook,Jimmy Graham,Austin Hooper,George Kittle,Trey Burton,Vance McDonald,Dallas Goedert,Kyle Rudolph
W/R/T,Corey Davis,John Brown,Travis Kelce,Doug Baldwin,Jay Ajayi,Tyrell Williams,Javorius Allen,Emmanuel Sanders,Sterling Shepard,Kenny Golladay,Jarvis Landry,Kenny Stills
WR1,Nelson Agholor,Stefon Diggs,Davante Adams,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Larry Fitzgerald,Tyreek Hill,Michael Thomas,T.Y. Hilton,DeAndre Hopkins,Chris Hogan
WR2,JuJu Smith-Schuster,A.J. Green,Antonio Brown,Golden Tate,Allen Robinson II,Cooper Kupp,DeSean Jackson,Marvin Jones Jr.,Dede Westbrook,Will Fuller V,Julio Jones,Demaryius Thomas
WR3,Brandin Cooks,Chris Godwin,Calvin Ridley,Tyler Boyd,Ted Ginn Jr.,Brandon Marshall,Jordy Nelson,Mike Evans,Christian Kirk,Tyler Lockett,Keenan Allen,Michael Crabtree
