,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,JuJu Smith-Schuster,John Brown,Tarik Cohen,Doug Baldwin,Vance McDonald,Ben Roethlisberger,D.J. Moore,Jonathan Stewart,Royce Freeman,Evan Engram,Marshawn Lynch,Le'Veon Bell
BN10,,,,,,,,,,,,
BN2,Marcus Mariota,Pierre Garcon,Case Keenum,Dez Bryant,Andy Dalton,Adrian Peterson,Jerick McKinnon,Hunter Henry,Dede Westbrook,Will Fuller V,Latavius Murray,Michael Crabtree
BN3,Corey Clement,David Njoku,Theo Riddick,Carson Wentz,Jameis Winston,Josh Doctson,DeSean Jackson,Robert Woods,Matt Ryan,Jimmy Garoppolo,Alex Smith,Mohamed Sanu
BN4,C.J. Anderson,DeVante Parker,Corey Coleman,Tevin Coleman,Mark Ingram,O.J. Howard,LeGarrette Blount,Dak Prescott,Bilal Powell,Keelan Cole,Drew Brees,Jared Goff
BN5,Alshon Jeffery,Patrick Mahomes,Ty Montgomery,Ricky Seals-Jones,Ted Ginn Jr.,Tyrell Williams,Julian Edelman,Paul Richardson Jr.,Danny Amendola,Josh Gordon,Aaron Jones,Kenny Stills
BN6,Cameron Brate,Marlon Mack,Mike Williams,Anthony Miller,Mike Wallace,Dante Pettis,James Washington,Kelvin Benjamin,Tyler Eifert,Isaiah Crowell,Nick Chubb,Michael Gallup
BN7,Derrius Guice,D'Onta Foreman,Calvin Ridley,Mike Gesicki,Giovani Bernard,Rashaad Penny,Jordan Wilkins,Antonio Callaway,Christian Kirk,Kenny Golladay,Allen Hurns,Spencer Ware
BN8,Austin Ekeler,Sony Michel,Baker Mayfield,Tre'Quan Smith,Kenneth Dixon,Lamar Jackson,Sam Darnold,Laquon Treadwell,Ronald Jones II,Adam Shaheen,Luke Willson,Benjamin Watson
BN9,Devontae Booker,Geronimo Allison,Houston,John Kelly,Chicago,Atlanta,Nyheim Hines,New England,Cameron Meredith,Courtland Sutton,Kalen Ballage,Tampa Bay
DEF,Minnesota,Jacksonville,Los Angeles,Pittsburgh,Los Angeles,New Orleans,Philadelphia,Baltimore,Green Bay,Carolina,Tennessee,Denver
K,,,,,,,,,,,,
QB,Matthew Stafford,Kirk Cousins,Aaron Rodgers,Mitchell Trubisky,Andrew Luck,Blake Bortles,Tom Brady,Philip Rivers,Deshaun Watson,Derek Carr,Russell Wilson,Cam Newton
RB1,Derrick Henry,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Ezekiel Elliott,LeSean McCoy,Jordan Howard,Melvin Gordon III,Joe Mixon,Peyton Barber,Leonard Fournette
RB2,Matt Breida,David Johnson,James Conner,Devonta Freeman,Kerryon Johnson,Duke Johnson Jr.,Alex Collins,Dalvin Cook,Lamar Miller,Saquon Barkley,James White,Dion Lewis
TE,Delanie Walker,Rob Gronkowski,Zach Ertz,Eric Ebron,Austin Seferian-Jenkins,Jimmy Graham,Greg Olsen,George Kittle,Trey Burton,Jordan Reed,Jack Doyle,Kyle Rudolph
W/R/T,Brandin Cooks,Rex Burkhead,Travis Kelce,Chris Carson,Jay Ajayi,Carlos Hyde,Alfred Morris,Emmanuel Sanders,Jamaal Williams,Kenyan Drake,Jarvis Landry,Chris Thompson
WR1,A.J. Green,Stefon Diggs,Davante Adams,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Larry Fitzgerald,Tyreek Hill,Michael Thomas,T.Y. Hilton,DeAndre Hopkins,Chris Hogan
WR2,Nelson Agholor,Jamison Crowder,Antonio Brown,Golden Tate,Allen Robinson II,Cooper Kupp,Robby Anderson,Marvin Jones Jr.,Sterling Shepard,Amari Cooper,Julio Jones,Demaryius Thomas
WR3,Corey Davis,Chris Godwin,Marquise Goodwin,Devin Funchess,John Ross,Donte Moncrief,Jordy Nelson,Mike Evans,Rishard Matthews,Tyler Lockett,Keenan Allen,Randall Cobb
