,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Greg Olsen,Jamison Crowder,Alvin Kamara,Devin Funchess,Jameis Winston,Tyrell Williams,Javorius Allen,Dalvin Cook,Quincy Enunwa,Will Fuller V,Ricky Seals-Jones,Kenny Stills
BN10,,,,,,,,,,,,
BN2,Matt Breida,Rex Burkhead,Marquise Goodwin,Devonta Freeman,Marquez Valdes-Scantling,Duke Johnson Jr.,LeSean McCoy,Marvin Jones Jr.,Deshaun Watson,Kenny Golladay,Aaron Jones,Leonard Fournette
BN3,Nelson Agholor,David Njoku,Mike Williams,Doug Baldwin,Mark Ingram,Blake Bortles,Chester Rogers,Hunter Henry,Royce Freeman,Kenyan Drake,Drew Brees,Randall Cobb
BN4,Corey Clement,DeVante Parker,Case Keenum,Golden Tate,Jay Ajayi,O.J. Howard,Alfred Morris,Dak Prescott,Michael Thomas,T.Y. Hilton,Phillip Lindsay,Cam Newton
BN5,Latavius Murray,Marlon Mack,Theo Riddick,Mitchell Trubisky,Andrew Luck,Rashaad Penny,D.J. Moore,Paul Richardson Jr.,C.J. Uzomah,Jimmy Garoppolo,Jack Doyle,Le'Veon Bell
BN6,Matthew Stafford,Geronimo Allison,Corey Coleman,Dez Bryant,Kerryon Johnson,Lamar Jackson,Jerick McKinnon,Kelvin Benjamin,Jamaal Williams,Keelan Cole,Peyton Barber,Mohamed Sanu
BN7,Derrick Henry,Ronald Jones II,Ty Montgomery,Anthony Miller,John Ross,Ted Ginn Jr.,Sam Darnold,Antonio Callaway,Cameron Meredith,Evan Engram,Nick Chubb,Michael Gallup
BN8,Derrius Guice,Marcus Mariota,Baker Mayfield,Mike Gesicki,Giovani Bernard,Curtis Samuel,Taylor Gabriel,Jamaal Charles,James Washington,Courtland Sutton,Hayden Hurst,Benjamin Watson
BN9,Robby Anderson,D'Onta Foreman,Los Angeles,Tre'Quan Smith,Tennessee,New Orleans,Mike Davis,New England,Alfred Blue,Rishard Matthews,Cleveland,Tampa Bay
DEF,Minnesota,Jacksonville,Houston,Carolina,Chicago,Los Angeles,Philadelphia,Baltimore,Green Bay,Seattle,Miami,Denver
K,,,,,,,,,,,,
QB,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Carson Wentz,Andy Dalton,Ben Roethlisberger,Tom Brady,Philip Rivers,Matt Ryan,Derek Carr,Russell Wilson,Jared Goff
RB1,Sony Michel,Todd Gurley II,James Conner,Chris Carson,Christian McCaffrey,Ezekiel Elliott,T.J. Yeldon,Jordan Howard,Melvin Gordon III,Saquon Barkley,James White,Dion Lewis
RB2,Austin Ekeler,David Johnson,Tarik Cohen,Tevin Coleman,Nyheim Hines,Carlos Hyde,Wendell Smallwood,Tavon Austin,Bilal Powell,Joe Mixon,Marshawn Lynch,Spencer Ware
TE,Cameron Brate,Rob Gronkowski,Zach Ertz,Eric Ebron,Jared Cook,Jimmy Graham,Vance McDonald,George Kittle,Trey Burton,Jordan Reed,Austin Hooper,Kyle Rudolph
W/R/T,Corey Davis,John Brown,Travis Kelce,Kareem Hunt,Kyle Juszczyk,Adrian Peterson,Alex Collins,Robert Woods,Lamar Miller,Isaiah Crowell,Jarvis Landry,Chris Thompson
WR1,JuJu Smith-Schuster,Stefon Diggs,Davante Adams,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Julian Edelman,Tyreek Hill,Dede Westbrook,Tyler Lockett,DeAndre Hopkins,Chris Hogan
WR2,Brandin Cooks,A.J. Green,Antonio Brown,Tyler Boyd,Allen Robinson II,Cooper Kupp,Jordy Nelson,Emmanuel Sanders,Sterling Shepard,Josh Gordon,Julio Jones,Demaryius Thomas
WR3,Alshon Jeffery,Chris Godwin,Calvin Ridley,Keke Coutee,Larry Fitzgerald,Ryan Grant,DeSean Jackson,Mike Evans,Christian Kirk,Amari Cooper,Keenan Allen,Michael Crabtree
