,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Nelson Agholor,Chris Godwin,Marquise Goodwin,Tevin Coleman,Taywan Taylor,Tyrell Williams,Jesse James,Dalvin Cook,Lamar Miller,Isaiah Crowell,Jarvis Landry,Leonard Fournette
BN10,,,,,,,,,,,,
BN2,Austin Ekeler,Rex Burkhead,Mike Williams,Chris Carson,Kerryon Johnson,Duke Johnson Jr.,LeSean McCoy,Mike Evans,Trey Burton,Kenyan Drake,Phillip Lindsay,Randall Cobb
BN3,Corey Clement,David Njoku,Tarik Cohen,Mitchell Trubisky,John Ross,Blake Bortles,DeSean Jackson,Jordan Howard,Quincy Enunwa,T.Y. Hilton,Jack Doyle,Cam Newton
BN4,Cameron Brate,DeVante Parker,Case Keenum,Doug Baldwin,Andy Dalton,O.J. Howard,Alfred Morris,Hunter Henry,Deshaun Watson,Jimmy Garoppolo,Russell Wilson,Le'Veon Bell
BN5,Latavius Murray,Marlon Mack,Theo Riddick,Dez Bryant,Allen Robinson II,Dante Pettis,D.J. Moore,Dak Prescott,Jamaal Williams,Keelan Cole,Peyton Barber,Mohamed Sanu
BN6,Matthew Stafford,Geronimo Allison,Corey Coleman,Anthony Miller,Giovani Bernard,Rashaad Penny,Jerick McKinnon,Paul Richardson Jr.,Danny Amendola,Josh Gordon,Alex Smith,Michael Gallup
BN7,Derrick Henry,Ronald Jones II,Ty Montgomery,Mike Gesicki,Nyheim Hines,Lamar Jackson,Sam Darnold,Kelvin Benjamin,Bilal Powell,Evan Engram,Nick Chubb,Spencer Ware
BN8,Derrius Guice,Marcus Mariota,Baker Mayfield,Tre'Quan Smith,Jameis Winston,Ted Ginn Jr.,Taylor Gabriel,Antonio Callaway,Cameron Meredith,Courtland Sutton,Hayden Hurst,Benjamin Watson
BN9,Greg Olsen,D'Onta Foreman,Houston,Keke Coutee,Chicago,New Orleans,Mike Davis,Baltimore,James Washington,Rishard Matthews,Cleveland,Tampa Bay
DEF,Minnesota,Jacksonville,Los Angeles,Carolina,Tennessee,Los Angeles,Philadelphia,New England,Green Bay,San Francisco,New York,Denver
K,,,,,,,,,,,,
QB,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Carson Wentz,Andrew Luck,Ben Roethlisberger,Tom Brady,Philip Rivers,Matt Ryan,Derek Carr,Drew Brees,Jared Goff
RB1,Sony Michel,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Ezekiel Elliott,Alex Collins,Tavon Austin,Melvin Gordon III,Saquon Barkley,James White,Dion Lewis
RB2,Matt Breida,David Johnson,James Conner,Devonta Freeman,Mark Ingram,Adrian Peterson,T.J. Yeldon,Jalen Richard,Royce Freeman,Joe Mixon,Marshawn Lynch,Chris Thompson
TE,Ian Thomas,Rob Gronkowski,Travis Kelce,Eric Ebron,Jared Cook,Jimmy Graham,Antonio Gates,George Kittle,C.J. Uzomah,Jordan Reed,Ricky Seals-Jones,Kyle Rudolph
W/R/T,Corey Davis,John Brown,Zach Ertz,Devin Funchess,Jay Ajayi,Carlos Hyde,Javorius Allen,Robert Woods,Sterling Shepard,Will Fuller V,Aaron Jones,Kenny Stills
WR1,JuJu Smith-Schuster,Stefon Diggs,Davante Adams,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Julian Edelman,Tyreek Hill,Michael Thomas,Amari Cooper,DeAndre Hopkins,Chris Hogan
WR2,Brandin Cooks,A.J. Green,Antonio Brown,Golden Tate,Larry Fitzgerald,Cooper Kupp,Chester Rogers,Marvin Jones Jr.,Dede Westbrook,Kenny Golladay,Julio Jones,Demaryius Thomas
WR3,Alshon Jeffery,Jamison Crowder,Calvin Ridley,Tyler Boyd,Marquez Valdes-Scantling,Ryan Grant,Jordy Nelson,Emmanuel Sanders,Christian Kirk,Tyler Lockett,Keenan Allen,Michael Crabtree
