,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Nelson Agholor,Rob Gronkowski,James Conner,Devonta Freeman,Ito Smith,Blake Bortles,Vernon Davis,Tavon Austin,Melvin Gordon III,Jordan Reed,James White,Chris Thompson
BN10,,,,,,,,,,,,
BN2,Cameron Brate,Chris Godwin,Davante Adams,Chris Carson,Jared Cook,Carlos Hyde,Javorius Allen,Dalvin Cook,Quincy Enunwa,Keelan Cole,Russell Wilson,Chris Hogan
BN3,JuJu Smith-Schuster,Rex Burkhead,Antonio Brown,Keke Coutee,Nyheim Hines,Tyrell Williams,Wendell Smallwood,Marvin Jones Jr.,Deshaun Watson,Tyler Lockett,Marshawn Lynch,Kenny Stills
BN4,Matt Breida,DeVante Parker,Aaron Rodgers,Doug Baldwin,Jameis Winston,Cooper Kupp,Jordy Nelson,Hunter Henry,Royce Freeman,Amari Cooper,Ricky Seals-Jones,Randall Cobb
BN5,Corey Clement,Geronimo Allison,Case Keenum,Mitchell Trubisky,Marquez Valdes-Scantling,Jimmy Graham,D.J. Moore,Dak Prescott,C.J. Uzomah,Jimmy Garoppolo,Aaron Jones,Le'Veon Bell
BN6,Matthew Stafford,Ronald Jones II,Theo Riddick,Dez Bryant,Jay Ajayi,Ben Roethlisberger,Jerick McKinnon,Paul Richardson Jr.,Jamaal Williams,Courtland Sutton,Jack Doyle,Michael Gallup
BN7,Derrick Henry,Marcus Mariota,Corey Coleman,Anthony Miller,Andrew Luck,Rashaad Penny,Sam Darnold,Kelvin Benjamin,Cameron Meredith,Raheem Mostert,Peyton Barber,Benjamin Watson
BN8,Derrius Guice,D'Onta Foreman,Ty Montgomery,Mike Gesicki,Doug Martin,Lamar Jackson,Mike Davis,Antonio Callaway,James Washington,Leonard Fournette,Hayden Hurst,Derek Carr
BN9,Robby Anderson,Jalen Richard,Los Angeles,Tre'Quan Smith,Chicago,New Orleans,Albert Wilson,Baltimore,Alfred Blue,Spencer Ware,New York,Cleveland
DEF,Minnesota,Jacksonville,Houston,Detroit,Miami,Los Angeles,Philadelphia,New England,Arizona,Indianapolis,Buffalo,Denver
K,,,,,,,,,,,,
QB,Kirk Cousins,Patrick Mahomes,Baker Mayfield,Carson Wentz,Andy Dalton,Joe Flacco,Tom Brady,Philip Rivers,Matt Ryan,Cam Newton,Drew Brees,Jared Goff
RB1,Sony Michel,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Ezekiel Elliott,T.J. Yeldon,Jordan Howard,Bilal Powell,Saquon Barkley,Phillip Lindsay,Dion Lewis
RB2,Austin Ekeler,David Johnson,Tarik Cohen,Tevin Coleman,Mark Ingram,Adrian Peterson,Alex Collins,Frank Gore,Lamar Miller,Joe Mixon,Nick Chubb,Isaiah Crowell
TE,Greg Olsen,David Njoku,Zach Ertz,Eric Ebron,Dallas Goedert,O.J. Howard,Nick O'Leary,George Kittle,Trey Burton,Evan Engram,Austin Hooper,Kyle Rudolph
W/R/T,Latavius Murray,Marlon Mack,Travis Kelce,Tyler Boyd,Kerryon Johnson,Duke Johnson Jr.,LeSean McCoy,Robert Woods,Dede Westbrook,Kenyan Drake,Jarvis Landry,Mohamed Sanu
WR1,Brandin Cooks,Stefon Diggs,Calvin Ridley,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Julian Edelman,Tyreek Hill,Sterling Shepard,Josh Gordon,DeAndre Hopkins,Demaryius Thomas
WR2,Alshon Jeffery,A.J. Green,Mike Williams,Golden Tate,Allen Robinson II,Willie Snead IV,DeSean Jackson,Emmanuel Sanders,Christian Kirk,Kenny Golladay,Julio Jones,Michael Crabtree
WR3,Corey Davis,John Brown,Marquise Goodwin,Devin Funchess,Larry Fitzgerald,Cole Beasley,Taylor Gabriel,Mike Evans,Michael Thomas,T.Y. Hilton,Keenan Allen,Will Fuller V
