,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Corey Davis,Kirk Cousins,Marquise Goodwin,Devonta Freeman,Austin Seferian-Jenkins,Tyrell Williams,Alfred Morris,Jonathan Stewart,Rishard Matthews,Josh Gordon,Russell Wilson,Leonard Fournette
BN10,,,,,,,,,,,,
BN2,Marcus Mariota,David Njoku,Tarik Cohen,Doug Baldwin,John Ross,Duke Johnson Jr.,Jordan Wilkins,Hunter Henry,Sterling Shepard,Derek Carr,Peyton Barber,Le'Veon Bell
BN3,Corey Clement,Chris Godwin,Case Keenum,Dez Bryant,Andy Dalton,Blake Bortles,Jordy Nelson,Robert Woods,Royce Freeman,Evan Engram,Marshawn Lynch,Michael Crabtree
BN4,C.J. Anderson,John Brown,Theo Riddick,Carson Wentz,Jameis Winston,O.J. Howard,D.J. Moore,Dak Prescott,Dede Westbrook,Will Fuller V,Alex Smith,Mohamed Sanu
BN5,Alshon Jeffery,DeVante Parker,Corey Coleman,Ricky Seals-Jones,Mark Ingram,Dante Pettis,Jerick McKinnon,Paul Richardson Jr.,Matt Ryan,Keelan Cole,Aaron Jones,Jared Goff
BN6,Derrius Guice,Marlon Mack,Ty Montgomery,Anthony Miller,Giovani Bernard,Rashaad Penny,LeGarrette Blount,Kelvin Benjamin,Bilal Powell,Isaiah Crowell,Nick Chubb,Michael Gallup
BN7,Austin Ekeler,D'Onta Foreman,Calvin Ridley,Mike Gesicki,Javorius Allen,Lamar Jackson,Julian Edelman,Antonio Callaway,Tyler Eifert,Kenny Golladay,Phillip Dorsett,Spencer Ware
BN8,Devontae Booker,Sony Michel,Baker Mayfield,Tre'Quan Smith,Cole Beasley,Ryan Grant,James Washington,Laquon Treadwell,Christian Kirk,Adam Shaheen,Will Dissly,Benjamin Watson
BN9,Greg Olsen,Geronimo Allison,Houston,John Kelly,Chicago,Atlanta,Sam Darnold,New England,Cameron Meredith,Courtland Sutton,Jonnu Smith,Tampa Bay
DEF,Minnesota,Jacksonville,Los Angeles,Pittsburgh,Los Angeles,New Orleans,Philadelphia,Baltimore,Green Bay,Carolina,Tennessee,Denver
K,,,,,,,,,,,,
QB,Matthew Stafford,Patrick Mahomes,Aaron Rodgers,Mitchell Trubisky,Andrew Luck,Ben Roethlisberger,Tom Brady,Philip Rivers,Deshaun Watson,Jimmy Garoppolo,Drew Brees,Cam Newton
RB1,Derrick Henry,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Ezekiel Elliott,LeSean McCoy,Jordan Howard,Melvin Gordon III,Joe Mixon,James White,Dion Lewis
RB2,Matt Breida,David Johnson,James Conner,Tevin Coleman,Kerryon Johnson,Adrian Peterson,Alex Collins,Dalvin Cook,Lamar Miller,Saquon Barkley,Phillip Lindsay,Chris Thompson
TE,Ian Thomas,Rob Gronkowski,Zach Ertz,Eric Ebron,Jared Cook,Jimmy Graham,Jesse James,George Kittle,Trey Burton,Jordan Reed,Jack Doyle,Kyle Rudolph
W/R/T,Brandin Cooks,Rex Burkhead,Travis Kelce,Chris Carson,Jay Ajayi,Carlos Hyde,T.J. Yeldon,Emmanuel Sanders,Jamaal Williams,Kenyan Drake,Jarvis Landry,Kenny Stills
WR1,A.J. Green,Stefon Diggs,Davante Adams,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Larry Fitzgerald,Tyreek Hill,Michael Thomas,T.Y. Hilton,DeAndre Hopkins,Chris Hogan
WR2,Nelson Agholor,Jamison Crowder,Antonio Brown,Golden Tate,Allen Robinson II,Cooper Kupp,Robby Anderson,Marvin Jones Jr.,Quincy Enunwa,Tyler Lockett,Julio Jones,Demaryius Thomas
WR3,JuJu Smith-Schuster,Pierre Garcon,Mike Williams,Devin Funchess,Ted Ginn Jr.,Brandon Marshall,DeSean Jackson,Mike Evans,Danny Amendola,Amari Cooper,Keenan Allen,Randall Cobb
