,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Matthew Stafford,Pierre Garcon,Mike Williams,Chris Carson,Kerryon Johnson,Tyrell Williams,Jesse James,Dalvin Cook,Danny Amendola,Will Fuller V,Jack Doyle,Leonard Fournette
BN10,,,,,,,,,,,,
BN2,Austin Ekeler,John Brown,Tarik Cohen,Mitchell Trubisky,Jay Ajayi,Duke Johnson Jr.,LeSean McCoy,Hunter Henry,Rishard Matthews,Tyler Lockett,Phillip Lindsay,Le'Veon Bell
BN3,Corey Clement,Jamison Crowder,Case Keenum,Devonta Freeman,Austin Seferian-Jenkins,Blake Bortles,Jordan Wilkins,Robert Woods,Sterling Shepard,Joe Mixon,Russell Wilson,Michael Crabtree
BN4,Derrick Henry,David Njoku,Theo Riddick,Doug Baldwin,John Ross,O.J. Howard,Jordy Nelson,Dak Prescott,Royce Freeman,Josh Gordon,Peyton Barber,Mohamed Sanu
BN5,Corey Davis,DeVante Parker,Corey Coleman,Dez Bryant,Andy Dalton,Dante Pettis,D.J. Moore,Paul Richardson Jr.,Matt Ryan,Derek Carr,Alex Smith,Jared Goff
BN6,Alshon Jeffery,Marlon Mack,Ty Montgomery,Anthony Miller,Jameis Winston,Rashaad Penny,Jerick McKinnon,Kelvin Benjamin,Bilal Powell,Evan Engram,Aaron Jones,Michael Gallup
BN7,Derrius Guice,Geronimo Allison,Calvin Ridley,Mike Gesicki,Mark Ingram,Lamar Jackson,Julian Edelman,Antonio Callaway,Tyler Eifert,Isaiah Crowell,Nick Chubb,Spencer Ware
BN8,Greg Olsen,Ronald Jones II,Baker Mayfield,Tre'Quan Smith,Ryan Fitzpatrick,Ryan Grant,James Washington,Laquon Treadwell,Christian Kirk,Courtland Sutton,Phillip Dorsett,Benjamin Watson
BN9,Bruce Ellington,Marcus Mariota,Los Angeles,John Kelly,Los Angeles,New Orleans,Sam Darnold,New England,Cameron Meredith,Jordan Matthews,Jonnu Smith,Tampa Bay
DEF,Minnesota,Jacksonville,Houston,Miami,Chicago,Atlanta,Philadelphia,Baltimore,Green Bay,Carolina,Cleveland,Denver
K,,,,,,,,,,,,
QB,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Carson Wentz,Andrew Luck,Ben Roethlisberger,Tom Brady,Philip Rivers,Deshaun Watson,Jimmy Garoppolo,Drew Brees,Cam Newton
RB1,Matt Breida,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Ezekiel Elliott,Alex Collins,Jordan Howard,Melvin Gordon III,Saquon Barkley,James White,Dion Lewis
RB2,Latavius Murray,David Johnson,James Conner,Tevin Coleman,Giovani Bernard,Carlos Hyde,Alfred Morris,Tavon Austin,Lamar Miller,Kenyan Drake,Marshawn Lynch,Chris Thompson
TE,Ian Thomas,Rob Gronkowski,Zach Ertz,Eric Ebron,Jared Cook,Jimmy Graham,Austin Hooper,George Kittle,Trey Burton,Jordan Reed,Will Dissly,Kyle Rudolph
W/R/T,Sony Michel,Rex Burkhead,Travis Kelce,Tyler Boyd,Nyheim Hines,Adrian Peterson,T.J. Yeldon,Emmanuel Sanders,Jamaal Williams,Kenny Golladay,Jarvis Landry,Kenny Stills
WR1,Nelson Agholor,Stefon Diggs,Davante Adams,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Larry Fitzgerald,Tyreek Hill,Michael Thomas,T.Y. Hilton,DeAndre Hopkins,Chris Hogan
WR2,JuJu Smith-Schuster,A.J. Green,Antonio Brown,Golden Tate,Allen Robinson II,Cooper Kupp,Robby Anderson,Marvin Jones Jr.,Quincy Enunwa,Amari Cooper,Julio Jones,Demaryius Thomas
WR3,Brandin Cooks,Chris Godwin,Marquise Goodwin,Devin Funchess,Ted Ginn Jr.,Brandon Marshall,DeSean Jackson,Mike Evans,Dede Westbrook,Keelan Cole,Keenan Allen,Randall Cobb
