,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Cameron Brate,Stefon Diggs,Marquise Goodwin,Doug Baldwin,Allen Robinson II,Danny Amendola,Vernon Davis,Frank Gore,Royce Freeman,Amari Cooper,Donte Moncrief,Chris Thompson
BN10,,,,,,,,,,,,
BN2,Alshon Jeffery,Geronimo Allison,Zach Ertz,Golden Tate,Odell Beckham Jr.,Tyrell Williams,T.J. Yeldon,Eli Manning,Cameron Meredith,Joe Mixon,Keenan Allen,Benjamin Watson
BN3,Robby Anderson,Marlon Mack,Mike Williams,Eric Ebron,Andrew Luck,Ben Roethlisberger,Javorius Allen,Marvin Jones Jr.,Dede Westbrook,Evan Engram,Russell Wilson,Will Fuller V
BN4,Corey Clement,David Johnson,Baker Mayfield,Tyler Boyd,Larry Fitzgerald,Duke Johnson Jr.,Wendell Smallwood,Hunter Henry,Christian Kirk,T.Y. Hilton,Aaron Jones,Mohamed Sanu
BN5,Sony Michel,A.J. Green,Case Keenum,Carson Wentz,Andy Dalton,Carlos Hyde,D.J. Moore,Dak Prescott,Sterling Shepard,Saquon Barkley,Jack Doyle,Kenny Stills
BN6,Nelson Agholor,Rex Burkhead,Theo Riddick,Devonta Freeman,Ito Smith,Rashaad Penny,Jerick McKinnon,Kelvin Benjamin,Matt Ryan,Keelan Cole,Hayden Hurst,Le'Veon Bell
BN7,Matthew Stafford,Ronald Jones II,Corey Coleman,Keke Coutee,Nyheim Hines,Lamar Jackson,Sam Darnold,Antonio Callaway,Jamaal Williams,Jimmy Garoppolo,Quincy Enunwa,Michael Gallup
BN8,Derrick Henry,D'Onta Foreman,Ty Montgomery,Dez Bryant,Jay Ajayi,John Ross,Mike Davis,Giovani Bernard,Elijah McGuire,Leonard Fournette,Josh Adams,Derek Carr
BN9,Derrius Guice,Jacksonville,Los Angeles,Anthony Miller,Doug Martin,New Orleans,Chris Ivory,Baltimore,Ed Dickson,Seattle,Dallas Goedert,Cleveland
DEF,Minnesota,Dallas,Houston,Miami,Chicago,Washington,Oakland,New England,Carolina,Pittsburgh,Kansas City,Denver
K,,,,,,,,,,,,
QB,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Mitchell Trubisky,Ryan Fitzpatrick,Joe Flacco,Tom Brady,Philip Rivers,Deshaun Watson,Cam Newton,Drew Brees,Jared Goff
RB1,Matt Breida,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Adrian Peterson,Alex Collins,Jordan Howard,Lamar Miller,Kenyan Drake,Phillip Lindsay,Isaiah Crowell
RB2,Latavius Murray,Jalen Richard,James Conner,Tevin Coleman,Mark Ingram,Ezekiel Elliott,LeSean McCoy,Dalvin Cook,Melvin Gordon III,Peyton Barber,Nick Chubb,Dion Lewis
TE,Greg Olsen,Rob Gronkowski,Travis Kelce,Mike Gesicki,Jared Cook,Jimmy Graham,Chris Herndon,George Kittle,Trey Burton,Jordan Reed,Austin Hooper,Kyle Rudolph
W/R/T,Austin Ekeler,David Njoku,Tarik Cohen,Chris Carson,Kerryon Johnson,O.J. Howard,Taylor Gabriel,Robert Woods,Devontae Booker,Josh Gordon,James White,Randall Cobb
WR1,Brandin Cooks,John Brown,Davante Adams,Adam Thielen,Cole Beasley,Sammy Watkins,Julian Edelman,Tyreek Hill,Michael Thomas,Kenny Golladay,DeAndre Hopkins,Demaryius Thomas
WR2,JuJu Smith-Schuster,DeVante Parker,Antonio Brown,Devin Funchess,Jakeem Grant,Cooper Kupp,DeSean Jackson,Emmanuel Sanders,David Moore,Tyler Lockett,Jarvis Landry,Michael Crabtree
WR3,Corey Davis,Chris Godwin,Calvin Ridley,Tre'Quan Smith,Willie Snead IV,Marquez Valdes-Scantling,Jordy Nelson,Mike Evans,Brandon Powell,Courtland Sutton,Julio Jones,Chris Hogan
