,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Austin Ekeler,John Brown,Tarik Cohen,Anthony Miller,Ito Smith,Sammy Watkins,Jordy Nelson,Emmanuel Sanders,Jamaal Williams,T.Y. Hilton,Phillip Lindsay,Chris Thompson
BN10,,,,,,,,,,,,
BN2,Latavius Murray,Jalen Richard,Marquise Goodwin,Chris Carson,Cole Beasley,Jimmy Graham,Alex Collins,Dalvin Cook,Devontae Booker,Kenyan Drake,DeAndre Hopkins,Demaryius Thomas
BN3,Kirk Cousins,Rob Gronkowski,Mike Williams,Mike Gesicki,Willie Snead IV,Danny Amendola,Vernon Davis,Eli Manning,Brandon Powell,Tyler Lockett,Donte Moncrief,Kyle Rudolph
BN4,Robby Anderson,Stefon Diggs,Baker Mayfield,Tre'Quan Smith,Allen Robinson II,Carlos Hyde,T.J. Yeldon,Hunter Henry,Lamar Miller,Jordan Reed,Russell Wilson,Michael Crabtree
BN5,Corey Clement,A.J. Green,Case Keenum,Adam Thielen,Andrew Luck,Rashaad Penny,Javorius Allen,Dak Prescott,Deshaun Watson,Courtland Sutton,Jack Doyle,Will Fuller V
BN6,Nelson Agholor,Ronald Jones II,Theo Riddick,Mitchell Trubisky,Andy Dalton,Lamar Jackson,Wendell Smallwood,Antonio Callaway,Royce Freeman,Peyton Barber,Hayden Hurst,Le'Veon Bell
BN7,Derrick Henry,D'Onta Foreman,Corey Coleman,Devonta Freeman,Nyheim Hines,John Ross,Jerick McKinnon,Giovani Bernard,Cameron Meredith,Keelan Cole,Quincy Enunwa,Michael Gallup
BN8,Derrius Guice,Spencer Ware,Ty Montgomery,Keke Coutee,Jay Ajayi,Alex Smith,Sam Darnold,Cordarrelle Patterson,Dede Westbrook,Jimmy Garoppolo,Josh Adams,Derek Carr
BN9,Minnesota,Jacksonville,Houston,Dez Bryant,Doug Martin,New Orleans,Chris Ivory,Baltimore,Ed Dickson,Pittsburgh,Dallas Goedert,Denver
DEF,Washington,Los Angeles,Los Angeles,Indianapolis,Chicago,Philadelphia,New York,New England,Green Bay,Buffalo,Kansas City,Cleveland
K,,,,,,,,,,,,
QB,Matthew Stafford,Patrick Mahomes,Aaron Rodgers,Carson Wentz,Ryan Fitzpatrick,Ben Roethlisberger,Tom Brady,Philip Rivers,Matt Ryan,Cam Newton,Drew Brees,Jared Goff
RB1,Matt Breida,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Adrian Peterson,LeSean McCoy,Jordan Howard,Melvin Gordon III,Joe Mixon,Nick Chubb,Isaiah Crowell
RB2,Sony Michel,David Johnson,James Conner,Tevin Coleman,Mark Ingram,Ezekiel Elliott,Mike Davis,Frank Gore,Elijah McGuire,Leonard Fournette,Aaron Jones,Dion Lewis
TE,Greg Olsen,David Njoku,Travis Kelce,Eric Ebron,Jared Cook,O.J. Howard,Chris Herndon,George Kittle,Trey Burton,Evan Engram,Austin Hooper,Benjamin Watson
W/R/T,Alshon Jeffery,Marlon Mack,Zach Ertz,Doug Baldwin,Kerryon Johnson,Duke Johnson Jr.,Taylor Gabriel,Marvin Jones Jr.,Sterling Shepard,Saquon Barkley,James White,Mohamed Sanu
WR1,Brandin Cooks,DeVante Parker,Davante Adams,Devin Funchess,Odell Beckham Jr.,Cooper Kupp,Julian Edelman,Tyreek Hill,Michael Thomas,Kenny Golladay,Jarvis Landry,Chris Hogan
WR2,JuJu Smith-Schuster,Chris Godwin,Antonio Brown,Tyler Boyd,Larry Fitzgerald,Marquez Valdes-Scantling,DeSean Jackson,Mike Evans,David Moore,Josh Gordon,Julio Jones,Randall Cobb
WR3,Corey Davis,Josh Doctson,Calvin Ridley,Golden Tate,Maurice Harris,Tyrell Williams,D.J. Moore,Robert Woods,Christian Kirk,Amari Cooper,Keenan Allen,Kenny Stills
