,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Sony Michel,David Njoku,Tarik Cohen,Devin Funchess,Ryan Fitzpatrick,John Ross,Vernon Davis,George Kittle,Dede Westbrook,Kenyan Drake,Donte Moncrief,Isaiah Crowell
BN10,,,,,,,,,,,,
BN2,Matt Breida,DeVante Parker,Marquise Goodwin,Anthony Miller,Maurice Harris,Duke Johnson Jr.,LeSean McCoy,Marvin Jones Jr.,Elijah McGuire,Josh Gordon,James White,Chris Hogan
BN3,Kirk Cousins,Jalen Richard,Mike Williams,Golden Tate,Cole Beasley,Cooper Kupp,Julian Edelman,Frank Gore,Jamaal Williams,Tyler Lockett,Nick Chubb,Randall Cobb
BN4,Robby Anderson,Rob Gronkowski,Baker Mayfield,Mike Gesicki,Willie Snead IV,Danny Amendola,Tom Brady,Eli Manning,Devontae Booker,Jordan Reed,Jarvis Landry,Kyle Rudolph
BN5,Corey Clement,A.J. Green,Case Keenum,Tre'Quan Smith,Andy Dalton,Carlos Hyde,T.J. Yeldon,Hunter Henry,Brandon Powell,Courtland Sutton,Russell Wilson,Will Fuller V
BN6,Nelson Agholor,Ronald Jones II,Theo Riddick,Mitchell Trubisky,Nyheim Hines,Rashaad Penny,Javorius Allen,Dak Prescott,Deshaun Watson,Peyton Barber,Jack Doyle,Le'Veon Bell
BN7,Derrick Henry,D'Onta Foreman,Corey Coleman,Devonta Freeman,Jay Ajayi,Lamar Jackson,Wendell Smallwood,Giovani Bernard,Royce Freeman,Jimmy Garoppolo,Hayden Hurst,Michael Gallup
BN8,Derrius Guice,Marcus Mariota,Ty Montgomery,Keke Coutee,Doug Martin,Alex Smith,Jerick McKinnon,Cordarrelle Patterson,Cameron Meredith,Jeff Heuerman,Josh Adams,Derek Carr
BN9,Washington,Jacksonville,Los Angeles,Dez Bryant,Vance McDonald,Philadelphia,Sam Darnold,New England,Ed Dickson,Buffalo,Kansas City,Cleveland
DEF,Minnesota,Los Angeles,Houston,Indianapolis,Chicago,New Orleans,New York,Baltimore,Green Bay,Pittsburgh,Arizona,Denver
K,,,,,,,,,,,,
QB,Matthew Stafford,Patrick Mahomes,Aaron Rodgers,Carson Wentz,Andrew Luck,Ben Roethlisberger,Josh Rosen,Philip Rivers,Matt Ryan,Cam Newton,Drew Brees,Jared Goff
RB1,Austin Ekeler,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Adrian Peterson,Mike Davis,Jordan Howard,Melvin Gordon III,Leonard Fournette,Aaron Jones,Dion Lewis
RB2,Latavius Murray,David Johnson,James Conner,Tevin Coleman,Mark Ingram,Ezekiel Elliott,Alex Collins,Dalvin Cook,Lamar Miller,Saquon Barkley,Phillip Lindsay,Chris Thompson
TE,Greg Olsen,Ricky Seals-Jones,Travis Kelce,Eric Ebron,Jared Cook,O.J. Howard,Jonnu Smith,Jesse James,Trey Burton,Evan Engram,Austin Hooper,Benjamin Watson
W/R/T,Alshon Jeffery,Marlon Mack,Zach Ertz,Chris Carson,Kerryon Johnson,Jimmy Graham,Taylor Gabriel,Emmanuel Sanders,Sterling Shepard,Joe Mixon,Josh Reynolds,Mohamed Sanu
WR1,Brandin Cooks,Chris Godwin,Davante Adams,Tyler Boyd,Odell Beckham Jr.,Marquez Valdes-Scantling,DeSean Jackson,Tyreek Hill,Michael Thomas,Kenny Golladay,Julio Jones,Kenny Stills
WR2,JuJu Smith-Schuster,Stefon Diggs,Antonio Brown,Adam Thielen,Larry Fitzgerald,Tyrell Williams,D.J. Moore,Mike Evans,Christian Kirk,Amari Cooper,Keenan Allen,Demaryius Thomas
WR3,Corey Davis,John Brown,Calvin Ridley,Doug Baldwin,Allen Robinson II,Sammy Watkins,Jordy Nelson,Robert Woods,David Moore,T.Y. Hilton,DeAndre Hopkins,Michael Crabtree
