,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,20.1,1.6,22.1,19.4,12.0,4.6,1.2,0.0,5.7,18.6,0.0,0.0
BN10,,,,,,,,,,,,
BN2,6.6,11.1,8.3,7.8,0.0,4.3,0.0,0.0,0.8,16.2,2.0,0.0
BN3,9.0,12.5,7.6,0.0,3.3,10.45,3.0,28.7,17.0,0.0,17.5,9.6
BN4,5.7,4.6,5.1,0.0,3.1,10.2,26.3,10.5,12.3,0.0,3.3,13.6
BN5,4.4,5.0,0.0,0.0,17.6,0.0,0.8,11.1,43.9,17.05,19.0,29.1
BN6,0.0,0.0,9.5,5.5,0.0,0.5,0.0,4.4,7.3,2.4,5.2,2.2
BN7,0.0,14.6,37.0,4.6,0.0,0.0,0.0,4.0,10.4,18.1,0.6,4.0
BN8,0.0,0.0,11.85,0.0,29.25,11.0,3.5,5.3,12.5,4.7,0.0,9.6
BN9,1.5,10.1,14.0,0.0,1.0,1.0,4.45,3.0,7.6,3.1,1.4,5.0
DEF,3.0,7.0,4.0,8.0,13.0,-3.0,3.0,6.0,1.0,10.0,9.0,6.0
K,,,,,,,,,,,,
QB,13.0,28.4,22.55,13.75,15.5,27.55,8.85,19.3,28.85,24.85,44.5,31.1
RB1,13.2,22.1,26.5,16.4,20.4,13.3,14.9,15.1,15.4,20.2,12.6,5.5
RB2,5.6,14.1,12.0,11.7,17.1,23.3,12.7,9.5,11.6,2.0,16.1,2.2
TE,3.5,7.1,9.8,5.8,5.6,7.0,5.8,12.4,7.5,8.5,0.9,13.3
W/R/T,5.4,3.6,15.4,22.7,6.8,24.0,12.0,15.8,5.5,14.3,16.3,13.6
WR1,4.4,3.7,14.7,17.5,15.4,16.0,1.9,6.6,17.9,7.5,11.6,4.6
WR2,16.1,8.3,14.0,9.9,6.5,14.8,1.2,14.9,7.7,2.7,12.1,8.8
WR3,12.5,13.9,10.3,14.7,10.7,4.0,5.2,22.7,4.6,6.5,3.9,2.2
