,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,1.9,0.0,13.4,20.7,4.6,0.0,0.0,0.0,0.3,9.2,0.0,0.0
BN10,,,,,,,,,,,,
BN2,0.0,8.4,8.9,0.0,5.7,1.9,0.0,0.0,0.0,4.8,0.0,0.0
BN3,0.0,0.0,0.0,1.0,0.0,10.7,0.0,21.4,1.1,17.0,17.3,0.0
BN4,0.0,0.0,24.8,0.0,28.3,0.5,8.8,0.0,0.0,7.1,28.0,0.0
BN5,1.3,0.0,0.0,0.0,24.05,16.8,0.0,24.4,0.0,0.0,5.1,0.0
BN6,10.8,0.0,9.0,39.55,8.45,0.0,4.9,4.9,0.0,7.1,0.0,0.0
BN7,17.8,0.0,1.6,0.0,3.7,10.9,0.0,4.6,0.0,0.0,3.8,4.4
BN8,0.0,7.8,0.0,0.0,0.0,14.5,0.0,1.1,6.8,0.0,4.7,10.35
BN9,0.0,1.0,0.0,0.0,10.7,9.0,0.0,0.0,2.9,15.0,0.0,0.0
DEF,17.0,13.0,5.0,4.0,12.0,4.0,-3.0,1.0,14.0,11.0,10.0,7.0
K,,,,,,,,,,,,
QB,18.6,22.55,20.05,24.7,17.8,39.1,13.8,17.25,23.8,16.65,31.55,24.2
RB1,26.7,23.5,24.2,10.6,34.3,7.9,24.3,3.7,25.0,9.5,34.4,10.7
RB2,3.1,33.8,13.8,7.8,23.7,33.7,16.0,11.2,7.2,25.4,30.7,7.8
TE,6.0,2.3,7.6,26.6,7.2,2.0,4.9,12.8,8.0,6.6,16.6,0.6
W/R/T,6.8,6.8,33.5,6.4,21.9,12.6,0.0,7.0,10.6,12.0,5.1,5.7
WR1,21.9,6.8,19.7,4.7,21.3,6.4,15.2,29.2,23.0,16.8,3.2,0.0
WR2,17.8,13.8,18.6,8.0,8.0,7.4,9.2,6.6,2.1,10.1,20.2,0.0
WR3,22.0,12.6,5.5,2.9,8.1,6.6,4.5,12.6,1.8,10.5,14.7,3.6
