,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,14.4,12.0,5.6,0.0,0.0,12.35,0.3,0.8,7.1,2.8,11.9,0.0
BN10,,,,,,,,,,,,
BN2,2.65,3.1,22.45,0.0,18.95,21.6,0.0,0.0,7.6,0.0,4.2,11.3
BN3,2.6,2.8,6.0,0.0,0.0,1.6,29.1,5.8,11.35,11.65,22.15,3.8
BN4,3.5,0.0,0.0,11.0,0.0,6.4,-0.3,10.4,7.0,6.9,35.95,19.55
BN5,0.0,30.9,3.8,3.4,17.8,7.8,0.0,4.2,4.6,8.2,0.0,24.6
BN6,0.0,0.0,10.6,2.4,0.0,13.1,0.0,1.5,5.9,22.2,2.1,1.4
BN7,0.0,0.0,0.0,1.6,1.4,6.3,7.6,0.0,0.9,14.9,2.5,4.5
BN8,21.1,0.0,0.0,0.0,10.4,5.1,15.8,2.8,0.0,0.0,0.0,6.4
BN9,2.5,15.4,8.0,0.0,14.0,7.0,8.7,8.0,0.0,5.5,0.0,7.0
DEF,18.0,13.0,17.0,11.0,-3.0,-4.0,10.0,17.0,7.0,12.0,11.0,12.0
K,,,,,,,,,,,,
QB,10.9,22.8,27.8,15.75,22.65,15.0,24.05,33.2,12.8,9.25,23.4,19.85
RB1,3.6,22.2,38.6,4.9,10.5,16.1,2.6,13.2,23.1,23.4,6.9,7.0
RB2,5.6,15.2,31.7,6.5,5.2,3.0,6.4,10.5,11.4,19.8,13.6,19.5
TE,7.2,19.8,7.3,13.1,4.0,1.8,4.3,11.5,2.0,12.8,7.5,7.6
W/R/T,11.8,7.4,1.1,7.4,20.2,13.0,1.8,24.5,4.7,8.1,14.1,21.8
WR1,16.2,12.6,17.3,13.2,16.5,3.6,11.1,38.8,30.0,13.1,11.1,1.6
WR2,9.65,4.7,19.8,17.4,8.1,15.3,9.7,7.4,7.3,2.3,23.0,15.3
WR3,9.2,11.6,0.0,5.6,6.8,1.9,3.8,24.2,0.0,13.4,20.8,24.7
