,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,8.0,37.75,0.0,0.0,9.8,6.3,9.0,0.1,1.8,0.0,17.0,0.0
BN10,,,,,,,,,,,,
BN2,0.0,4.0,3.0,0.0,1.0,2.0,7.4,0.0,3.9,18.4,3.4,0.0
BN3,17.0,14.1,16.7,0.0,29.25,36.3,4.0,11.1,8.8,16.2,13.8,8.1
BN4,3.1,17.2,9.2,0.0,0.0,17.1,12.3,16.5,15.6,21.3,16.0,2.5
BN5,0.0,0.0,0.0,3.7,0.0,4.0,0.0,8.3,33.4,21.1,0.0,21.9
BN6,0.0,4.1,4.5,8.1,6.2,3.0,4.0,8.9,16.5,4.9,1.4,1.0
BN7,11.3,0.0,14.7,0.0,12.9,0.6,0.0,16.3,3.3,17.9,6.9,0.3
BN8,1.7,4.6,0.0,2.3,2.3,4.0,7.9,9.3,4.7,0.0,11.7,3.4
BN9,0.0,9.4,2.0,0.0,17.0,4.0,16.8,3.0,0.0,1.4,0.0,7.0
DEF,3.0,5.0,13.0,1.0,10.0,6.0,6.0,-1.0,11.0,1.0,7.0,4.0
K,,,,,,,,,,,,
QB,28.15,42.1,18.85,16.4,13.15,43.5,18.7,25.3,25.9,18.7,20.05,30.95
RB1,6.0,30.8,14.9,14.5,20.9,17.2,8.8,8.3,27.6,9.2,11.9,4.8
RB2,23.4,5.6,17.0,14.5,9.1,6.5,10.5,10.5,8.0,17.8,11.6,15.8
TE,2.0,2.5,14.9,10.1,6.9,12.5,22.3,3.2,10.2,6.5,3.0,10.7
W/R/T,19.4,2.2,26.4,2.4,9.2,11.5,8.1,11.6,8.6,15.0,9.4,2.7
WR1,27.4,31.4,16.4,25.1,7.1,16.1,4.3,17.5,24.9,17.8,20.0,17.7
WR2,19.0,4.7,11.2,15.3,13.3,9.3,2.2,13.4,12.7,14.5,8.9,4.3
WR3,24.6,7.7,9.7,11.2,5.5,6.4,20.9,17.3,5.2,16.6,9.7,5.0
