,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,3.0,0.0,1.8,9.7,0.0,7.2,8.7,6.4,0.0,14.3,0.0,0.0
BN10,,,,,,,,,,,,
BN2,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,18.2,13.7
BN3,5.3,0.0,9.5,0.0,0.0,27.9,3.9,9.6,0.0,0.0,21.85,0.0
BN4,0.0,0.0,20.85,0.0,0.0,25.1,0.0,0.0,0.0,0.0,7.5,6.5
BN5,0.0,0.0,18.5,0.0,0.0,0.0,5.3,17.25,0.0,0.0,0.0,2.4
BN6,0.0,0.0,7.1,0.0,12.9,3.9,0.0,6.0,31.5,0.0,2.6,0.0
BN7,8.55,0.0,0.0,0.0,0.0,1.6,3.45,6.6,6.4,0.0,5.5,6.6
BN8,10.2,0.0,0.0,0.0,0.0,0.0,14.2,0.0,8.2,0.0,0.0,9.05
BN9,0.0,0.0,-2.0,8.3,7.4,-2.0,7.0,1.0,0.0,3.0,0.0,0.0
DEF,22.0,7.0,5.0,25.0,28.0,0.0,-1.0,4.0,6.0,3.0,6.0,5.0
K,,,,,,,,,,,,
QB,8.5,30.55,21.75,9.35,26.45,10.3,18.6,19.4,22.45,23.65,34.9,33.25
RB1,5.2,16.9,31.6,32.6,30.2,4.8,10.4,16.7,5.8,5.5,9.4,6.5
RB2,11.2,6.9,25.8,30.1,2.1,13.2,4.9,12.9,18.8,5.0,15.5,20.2
TE,16.6,0.0,25.4,0.0,3.0,13.5,8.2,18.8,9.8,5.4,5.6,3.8
W/R/T,3.9,7.3,1.8,4.0,5.9,19.3,6.0,10.0,7.4,21.5,25.3,4.9
WR1,20.4,3.0,13.0,10.7,3.1,8.9,14.75,10.5,33.1,6.9,21.5,7.6
WR2,11.3,1.3,12.7,6.4,2.1,17.4,4.2,7.7,2.6,3.7,8.0,4.7
WR3,9.0,5.0,16.7,9.3,9.3,11.6,2.6,2.1,0.0,7.2,21.6,0.0
