,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,6.5,0.0,0.0,4.0,2.5,8.1,3.0,0.0,0.0,29.6,9.4,0.0
BN10,,,,,,,,,,,,
BN2,12.4,0.0,6.3,13.2,9.5,4.7,11.8,0.0,0.0,21.0,9.6,0.0
BN3,0.0,9.9,0.0,0.0,0.0,24.9,0.0,0.0,0.0,0.0,0.0,18.75
BN4,0.0,0.0,24.85,0.6,15.4,0.0,10.6,0.0,24.75,0.0,21.9,0.0
BN5,6.6,0.0,3.3,0.0,0.0,0.0,8.7,13.8,8.2,9.0,0.0,15.3
BN6,17.05,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.5,12.0,16.45,1.1
BN7,5.6,0.0,4.3,4.1,12.5,1.0,20.4,1.6,7.9,0.0,0.2,1.8
BN8,0.0,5.45,21.4,24.6,0.0,0.0,0.0,3.7,7.6,8.8,1.2,5.0
BN9,0.0,0.0,7.0,14.3,0.0,8.0,14.5,11.0,0.0,0.0,12.0,0.0
DEF,13.0,5.0,1.0,12.0,7.0,11.0,4.0,7.0,2.0,1.0,7.0,4.0
K,,,,,,,,,,,,
QB,17.15,18.95,33.1,24.15,26.25,24.1,30.95,24.75,17.25,15.9,30.85,17.55
RB1,17.5,31.3,5.4,15.9,17.8,11.9,7.1,4.9,20.0,26.9,18.7,4.3
RB2,12.6,20.1,32.5,5.1,20.3,5.2,22.2,8.7,6.2,19.0,5.1,9.2
TE,5.3,10.5,12.5,27.0,4.0,10.6,2.9,10.8,5.3,2.6,0.0,6.6
W/R/T,6.9,7.8,22.0,7.3,1.9,8.7,8.8,17.0,9.5,2.5,6.9,2.7
WR1,11.4,16.6,24.5,21.1,27.95,10.8,9.2,10.7,9.4,1.5,17.6,4.9
WR2,0.0,14.2,25.1,6.7,4.5,18.0,10.6,7.3,7.0,17.8,8.7,19.0
WR3,4.9,7.5,5.8,6.4,16.3,8.8,12.3,11.7,16.5,17.9,13.5,9.6
