,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,6.8,0.0,0.0,15.9,34.65,25.4,3.4,0.0,-0.6,4.3,9.4,6.0
BN10,,,,,,,,,,,,
BN2,12.1,0.0,27.1,0.0,11.8,12.9,10.9,0.0,7.05,0.0,4.1,0.0
BN3,10.6,15.0,1.9,12.1,0.0,11.65,13.5,0.0,2.2,7.8,0.0,0.0
BN4,14.4,0.0,22.7,0.0,0.0,14.2,0.0,31.35,0.0,0.0,9.6,26.05
BN5,22.3,9.8,0.0,30.5,25.75,8.0,5.7,10.8,8.4,0.0,0.0,0.0
BN6,0.0,0.0,0.0,0.0,0.0,2.2,0.0,5.3,4.4,4.1,18.6,11.6
BN7,3.1,3.4,9.2,9.4,0.0,0.0,20.8,3.9,0.0,0.0,2.5,3.2
BN8,0.0,8.35,14.7,1.6,0.0,0.0,14.4,1.5,0.0,7.3,0.0,0.0
BN9,5.4,0.0,5.0,0.0,2.0,0.0,3.1,0.0,5.3,0.0,-1.0,0.0
DEF,12.0,-1.0,20.0,3.0,5.0,10.0,10.0,21.0,7.0,17.0,7.0,7.0
K,,,,,,,,,,,,
QB,19.45,30.5,32.65,27.3,19.45,24.75,25.2,16.35,31.05,6.2,23.1,9.45
RB1,22.6,35.5,26.9,5.9,10.1,18.2,8.5,4.9,34.0,33.4,11.7,2.4
RB2,6.0,11.9,19.6,10.6,4.5,3.4,5.6,2.4,5.9,16.4,7.4,2.4
TE,8.0,11.2,13.8,15.0,2.0,12.9,10.3,5.0,10.3,6.1,17.6,5.7
W/R/T,2.9,3.8,8.6,27.0,2.5,9.7,17.4,15.6,8.1,6.2,2.1,0.0
WR1,16.6,5.7,30.2,23.8,7.4,2.7,14.1,35.7,11.3,9.5,14.8,9.8
WR2,6.3,12.0,19.0,21.7,14.9,1.2,1.6,21.0,5.2,6.7,19.4,13.2
WR3,23.4,14.6,6.2,4.8,6.4,3.4,10.4,7.8,10.7,0.0,12.3,18.3
