,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,0.0,5.8,17.5,4.2,0.0,1.1,7.2,0.0,0.0,7.3,0.0,0.0
BN10,,,,,,,,,,,,
BN2,1.0,6.2,0.0,0.0,23.0,11.0,8.1,0.0,0.0,0.8,0.0,0.0
BN3,0.0,0.0,15.9,26.0,0.0,0.0,9.3,27.2,0.0,11.7,0.0,5.9
BN4,0.0,16.4,0.0,0.0,9.5,0.0,13.6,0.0,0.0,0.0,25.9,0.0
BN5,0.0,1.9,18.0,0.0,11.6,0.0,15.4,0.0,6.9,0.0,0.0,6.0
BN6,7.8,0.6,0.0,0.0,0.0,0.0,0.0,5.5,0.0,9.3,15.6,0.0
BN7,20.1,0.0,0.0,11.9,7.9,8.9,13.85,12.1,4.2,1.8,16.0,0.0
BN8,0.0,0.0,-0.7,3.4,6.2,0.0,4.0,0.0,0.0,0.0,9.9,30.2
BN9,0.0,10.4,7.0,3.3,,15.0,5.0,-4.0,0.0,0.4,0.0,4.0
DEF,2.0,8.0,4.0,1.0,5.0,15.0,7.0,20.0,8.0,7.0,2.0,3.0
K,,,,,,,,,,,,
QB,24.25,29.05,18.8,24.1,25.75,19.45,17.0,15.8,33.35,30.15,8.0,29.45
RB1,4.2,30.5,23.1,17.1,19.6,26.1,12.5,14.1,19.3,15.6,18.7,4.3
RB2,18.0,12.0,35.7,19.4,10.7,2.6,11.3,6.3,12.1,22.5,8.5,3.2
TE,13.6,0.0,10.6,11.2,15.4,2.6,2.6,8.2,3.3,11.0,2.2,5.9
W/R/T,1.8,27.9,16.9,3.6,12.1,14.8,12.5,9.5,11.0,27.3,20.4,0.0
WR1,9.8,22.9,15.8,19.3,17.6,26.7,16.2,8.5,5.4,6.2,23.2,4.5
WR2,5.5,16.1,22.4,8.8,22.2,7.9,14.7,7.1,11.7,1.7,7.9,4.6
WR3,5.3,4.3,12.0,24.1,4.5,12.2,1.9,26.9,10.6,3.9,7.4,20.9
