,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,8.6,0.0,3.8,0.0,40.3,0.0,2.8,2.0,8.6,0.0,17.2,0.0
BN10,,,,,,,,,,,,
BN2,0.0,7.2,2.0,47.0,23.8,11.6,21.5,0.0,34.85,0.0,0.0,0.0
BN3,23.85,0.0,26.9,0.0,0.0,28.2,2.3,18.6,2.7,22.8,10.7,0.0
BN4,12.6,7.7,10.25,0.0,3.4,0.0,1.6,20.95,3.1,2.5,3.5,0.0
BN5,0.0,0.0,4.7,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,14.1
BN6,4.1,0.0,0.0,0.0,7.95,4.9,0.0,3.9,12.7,4.2,14.7,5.5
BN7,20.5,11.0,8.4,1.4,0.0,1.7,0.0,6.9,7.2,0.0,22.5,0.6
BN8,0.0,3.3,15.75,0.0,4.3,8.9,13.15,6.7,11.8,0.8,13.5,2.8
BN9,0.0,33.8,13.0,0.0,5.0,3.0,1.5,10.0,4.7,6.6,0.0,-3.0
DEF,-3.0,9.0,5.0,4.0,14.0,8.0,5.0,6.0,23.0,4.0,3.0,1.0
K,,,,,,,,,,,,
QB,35.9,25.9,18.0,24.2,28.15,17.6,21.7,24.2,33.45,35.95,10.75,43.95
RB1,4.8,23.6,38.6,25.0,23.6,32.0,9.0,2.5,27.4,19.0,27.2,11.1
RB2,17.2,16.7,7.9,9.2,12.1,14.2,5.2,0.7,4.9,2.1,14.9,4.0
TE,10.4,6.4,16.2,12.5,27.0,9.6,2.4,21.5,15.6,6.7,2.3,8.2
W/R/T,26.6,19.4,17.3,6.6,9.6,6.3,5.7,8.8,20.7,9.4,11.4,5.5
WR1,4.7,17.8,12.1,23.5,10.5,0.0,4.3,10.1,6.7,13.5,27.9,3.0
WR2,8.0,15.8,14.7,29.2,9.3,32.7,13.7,7.1,16.6,12.9,21.8,4.4
WR3,22.1,3.2,19.5,15.5,0.1,1.0,15.3,8.9,5.5,7.8,9.8,4.4
