,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,5.0,0.0,0.0,0.0,5.5,2.05,0.0,0.0,0.0,5.3,25.7,0.0
BN10,,,,,,,,,,,,
BN2,1.8,8.4,0.0,0.0,0.0,0.0,3.9,0.0,0.0,3.1,0.0,9.3
BN3,0.0,0.0,0.0,0.8,4.7,19.8,4.7,4.4,12.25,0.0,0.0,7.0
BN4,-0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,9.7,0.0,2.2,0.0
BN5,3.2,0.0,10.45,34.75,0.0,0.0,4.4,22.95,8.3,0.0,0.0,0.0
BN6,19.75,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,15.6
BN7,13.5,17.65,0.0,4.5,24.3,0.0,14.1,9.1,0.0,9.8,3.0,13.3
BN8,0.0,0.0,0.0,5.9,0.0,7.15,0.0,1.9,0.0,0.0,0.0,0.0
BN9,5.9,0.0,23.0,5.9,3.0,1.0,5.1,3.0,2.8,10.4,-3.0,14.0
DEF,12.0,2.0,14.0,4.0,0.0,5.0,2.0,19.0,3.0,19.0,-2.0,32.0
K,,,,,,,,,,,,
QB,19.95,36.4,23.05,21.8,9.4,22.35,24.45,23.2,23.05,28.35,18.9,18.5
RB1,2.0,28.6,14.5,34.6,11.0,5.2,15.3,11.3,3.0,21.9,16.1,18.5
RB2,9.3,8.5,18.3,15.2,5.2,11.2,6.3,3.8,16.4,6.6,14.0,5.5
TE,7.5,13.2,18.3,4.6,12.3,9.2,3.3,18.3,23.1,3.6,6.3,2.1
W/R/T,21.3,30.9,12.0,4.2,18.9,3.9,0.1,10.9,3.7,16.7,20.7,3.1
WR1,15.1,6.6,6.8,21.5,24.2,9.4,12.1,17.1,19.2,12.0,12.5,6.7
WR2,18.3,15.2,12.3,8.6,0.9,5.1,10.3,24.6,7.2,4.7,12.9,9.1
WR3,2.5,22.9,3.4,15.2,12.0,9.1,4.1,14.2,16.4,16.5,9.7,9.8
